irb> index.linear_search([10000])
linear_search: root=3, level=2, key=(10000)
linear_search_from_cursor: page=3, level=2, start=(1)
linear_search_from_cursor: page=3, level=2, current=(1)
linear_search_from_cursor: page=36, level=1, start=(1)
linear_search_from_cursor: page=36, level=1, current=(1)
linear_search_from_cursor: page=36, level=1, current=(235)
linear_search_from_cursor: page=36, level=1, current=(703)
linear_search_from_cursor: page=36, level=1, current=(1171)
linear_search_from_cursor: page=36, level=1, current=(1639)
linear_search_from_cursor: page=36, level=1, current=(2107)
linear_search_from_cursor: page=36, level=1, current=(2575)
linear_search_from_cursor: page=36, level=1, current=(3043)
linear_search_from_cursor: page=36, level=1, current=(3511)
linear_search_from_cursor: page=36, level=1, current=(3979)
linear_search_from_cursor: page=36, level=1, current=(4447)
linear_search_from_cursor: page=36, level=1, current=(4915)
linear_search_from_cursor: page=36, level=1, current=(5383)
linear_search_from_cursor: page=36, level=1, current=(5851)
linear_search_from_cursor: page=36, level=1, current=(6319)
linear_search_from_cursor: page=36, level=1, current=(6787)
linear_search_from_cursor: page=36, level=1, current=(7255)
linear_search_from_cursor: page=36, level=1, current=(7723)
linear_search_from_cursor: page=36, level=1, current=(8191)
linear_search_from_cursor: page=36, level=1, current=(8659)
linear_search_from_cursor: page=36, level=1, current=(9127)
linear_search_from_cursor: page=36, level=1, current=(9595)
linear_search_from_cursor: page=25, level=0, start=(9595)
linear_search_from_cursor: page=25, level=0, current=(9595)
linear_search_from_cursor: page=25, level=0, current=(9596)
linear_search_from_cursor: page=25, level=0, current=(9597)
linear_search_from_cursor: page=25, level=0, current=(9598)
linear_search_from_cursor: page=25, level=0, current=(9599)
linear_search_from_cursor: page=25, level=0, current=(9600)
linear_search_from_cursor: page=25, level=0, current=(9601)
linear_search_from_cursor: page=25, level=0, current=(9602)
linear_search_from_cursor: page=25, level=0, current=(9603)
linear_search_from_cursor: page=25, level=0, current=(9604)
linear_search_from_cursor: page=25, level=0, current=(9605)
linear_search_from_cursor: page=25, level=0, current=(9606)
linear_search_from_cursor: page=25, level=0, current=(9607)
linear_search_from_cursor: page=25, level=0, current=(9608)
linear_search_from_cursor: page=25, level=0, current=(9609)
linear_search_from_cursor: page=25, level=0, current=(9610)
linear_search_from_cursor: page=25, level=0, current=(9611)
linear_search_from_cursor: page=25, level=0, current=(9612)
linear_search_from_cursor: page=25, level=0, current=(9613)
linear_search_from_cursor: page=25, level=0, current=(9614)
linear_search_from_cursor: page=25, level=0, current=(9615)
linear_search_from_cursor: page=25, level=0, current=(9616)
linear_search_from_cursor: page=25, level=0, current=(9617)
linear_search_from_cursor: page=25, level=0, current=(9618)
linear_search_from_cursor: page=25, level=0, current=(9619)
linear_search_from_cursor: page=25, level=0, current=(9620)
